profile,primary_dim,shape_param,thickness,coating_type,z_offset,xy_offset_x,xy_offset_y,mass,mean_deflection_deg,hit_ratio,wafer_flux_m2s,wake_intrusion_ratio,wake_type
cupola,5.7763345427194634,1.0,0.0018789992076830725,specular,-1.1047672689529076,0.04554086267447316,-0.005606000544020606,2515.3161533151765,101.25068389373861,0.0024,5.98442517269808e+18,0.9314,WakeCone
cap,1.502677653257357,2.100038195512661,0.0017089784571462767,diffuse,-1.2838429223607215,-0.04837713126882642,0.037557892627773384,6.573941471236501,60.29617027414242,0.0,0.0,0.3889,WakeCone
flat,5.949299602444002,0.0,0.0025039947481122074,diffuse,-1.1245653714505275,0.0325269752177441,-0.03594625380130987,751.7591641401458,45.712037645116,0.0,0.0,0.3131,WakeCone
cupola,4.30734691358038,1.0,0.002201952520783862,specular,-1.3869186338500947,0.03482274112590765,-0.031131788776864934,1639.0377634323731,101.27687556010355,0.0035,4.84659220020789e+18,0.8492,WakeCone
cupola,1.2846918235469853,1.0,0.0016775747649548558,specular,-1.4138950487887927,0.03577402668001141,0.04878749494228578,111.0813404152371,101.79444378000676,0.0002,2.482261098772099e+16,0.4693,WakeCone
cupola,2.1145862049731923,1.0,0.0021324710504859435,specular,-1.432323116572768,-0.026910574108970776,0.03353289828072309,382.55619607586954,101.38982297447212,0.0125,4.1887672634464067e+18,0.6164,WakeCone
cap,3.945165961633735,2.7460217589958034,0.00262454904125532,specular,-1.1322157390876786,0.02075569020262022,-0.025315595620991074,5.904598561298998,89.44358248076406,0.0,0.0,0.6528,WakeCone
cupola,1.1898871769936732,1.0,0.0016465194415554007,specular,-1.151494446449837,0.027096268237446708,-0.022847981554554565,93.52758893263443,101.8540354196532,0.0,0.0,0.5108,WakeCone
cupola,3.8602424349328466,1.0,0.0019570991706304255,specular,-1.1093341280863223,-0.03138898291154849,0.03220860058307666,1170.0469827177428,101.0743801550501,0.0033,3.6750036046832164e+18,0.8617,WakeCone
flat,1.8437845891436946,0.0,0.002880546387999909,diffuse,-1.0216858218508065,-0.032027499585497096,-0.04850159235156555,83.06324082798189,45.094404152249325,0.0,0.0,0.3021,WakeCone
cap,3.895559159744629,2.3487530988219314,0.002551439252409249,specular,-1.1113614736077044,0.03832272366324019,0.017342514449815744,7.846105310526941,90.03418551456916,0.0,0.0,0.6617,WakeCone
flat,5.244623407318409,0.0,0.002412677881585777,diffuse,-1.4793569161663191,-0.04565724667135327,-0.04437591683198734,562.9134135613969,45.4263762386775,0.0,0.0,0.3043,WakeCone
pyramid,3.5001869818199447,1.3515581869037179,0.0026819940650901737,specular,-1.005076119878811,-0.020968252978961346,0.02443892733433327,596.6293998931566,72.32043451713228,0.0,0.0,0.1042,PyramidWake
flat,5.739831467138659,0.0,0.002922119449826705,diffuse,-1.1651469952504045,-0.005090585474422635,-0.0449561714511921,816.600955007685,45.22070867245555,0.0,0.0,0.308,WakeCone
cap,4.909991525704704,2.344416184952843,0.0029700440263385835,specular,-1.0275036315280992,0.0072619494844986185,0.012863623405481112,9.16720826106405,89.77375921143042,0.0,0.0,0.655,WakeCone
cupola,5.908789526096141,1.0,0.001642243844426576,diffuse,-1.3818918317892677,-0.017772762572336544,0.017789364185588546,2300.360971665812,61.62734583342738,0.0015,3.9173899901425567e+18,0.3595,WakeCone
cupola,4.886427102227625,1.0,0.002899618459764213,specular,-1.4217145962911721,0.04852721662712772,-0.02388875021116378,2777.6979051398757,101.40119876202402,0.0037,6.584264000209363e+18,0.8559,WakeCone
flat,3.981817702604419,0.0,0.0025039414380825862,specular,-1.3044178327735931,-0.01421636581664655,0.001936487725858374,336.7445304342129,12.74630920058026,0.0,0.0,0.3083,WakeCone
pyramid,2.7856099635122282,1.04965139119177,0.0026592816664410966,specular,-1.1877558322324937,-0.040810458308660515,0.009078228108854683,323.0882034883538,86.56244306431614,0.0,0.0,0.1111,PyramidWake
