profile,primary_dim,shape_param,thickness,coating_type,z_offset,xy_offset_x,xy_offset_y,mass,mean_deflection_deg,hit_ratio,wafer_flux_m2s,wake_intrusion_ratio,wake_type
cap,1.293644802938905,2.781133244072912,0.002534945539070579,diffuse,-5.227313198780766,-0.04140958276552892,0.017606609554524394,5.559921668958981,59.10789783231189,0.0,0.0,0.435,WakeCone
cap,3.0439761310175952,2.1855940274188046,0.0020049938094257396,diffuse,-5.1226937724298365,-0.03810799168917089,0.043402449944126106,7.120617841970326,60.02120680357085,0.0,0.0,0.4306,WakeCone
cap,3.768802738426305,2.5315568783577014,0.0020200823892290313,specular,-5.256648918956653,-0.019611187338371906,-0.027036141934977165,5.347334304591692,88.9550806645259,0.0,0.0,0.6537,WakeCone
pyramid,1.7302733535857282,1.2872616246512338,0.0025998083354486293,diffuse,-5.490970165411102,-0.027480816156883893,-0.040513265165592074,137.0230961023617,54.585392520945646,0.0,0.0,0.2402,PyramidWake
cap,3.691452892249562,1.65867941183609,0.0021544282773623565,specular,-5.3661672460095495,-0.038934258045931314,0.015615542272075678,13.284669826540346,89.51018252754007,0.0,0.0,0.6548,WakeCone
flat,5.530578966775084,0.0,0.002714377010111254,diffuse,-5.430550595325428,-0.0073231857775398965,0.00603664845307833,704.2469916614385,45.30780825363738,0.0,0.0,0.3029,WakeCone
cap,4.365463889049577,2.7275321863174704,0.00194906869210838,specular,-5.1701926101816085,-0.01939826686598585,-0.003943477417264772,4.444582885263357,90.37520897351155,0.0,0.0,0.6597,WakeCone
cupola,5.894938652875841,1.0,0.0020492731775274683,specular,-5.294290073400232,-0.04402253419899554,0.03616082150963078,2857.0625099544554,101.49770111569705,0.0004,4.1667313249999483e+18,0.9761,WakeCone
cupola,3.6800066974096595,1.0,0.002342506729047639,specular,-5.248257557310309,0.012971510705851147,-0.024665650237273486,1272.739058760053,101.28622263592038,0.001,4.061042340253663e+18,0.9726,WakeCone
pyramid,4.531323249159462,0.6044808450542112,0.002018248047835521,diffuse,-5.19984958981527,0.006535557590053087,0.048117023608579654,522.9713193983382,66.81558832808618,0.0,0.0,0.33,PyramidWake
cap,5.402242169049311,1.5906456554507533,0.0026931787600046582,diffuse,-5.005778685829141,0.014536959618885417,-0.022773172324100047,18.057678892427525,60.584045451079,0.0,0.0,0.4337,WakeCone
cupola,5.759422824008706,1.0,0.002974813582502062,diffuse,-5.112970050223211,0.00423254307266302,0.03741809051026998,3958.9406307463814,61.882588475259226,0.0005,4.968769728257686e+18,0.3746,WakeCone
pyramid,3.3118262690091385,0.8148960515374973,0.0029884701810077912,specular,-5.262499462632076,0.0330069517349495,0.02972799636789146,456.65865025247797,101.33428416032316,0.0,0.0,0.9519,PyramidWake
cupola,3.643028661014987,1.0,0.00185369690980514,specular,-5.3878795118099045,0.02955214383241278,0.0026848073578268766,987.0183093618134,101.15576725264235,0.0004,1.5971506232280507e+18,0.9721,WakeCone
flat,5.5815032029815645,0.0,0.002120065511586421,diffuse,-5.044968789188832,-0.03053142668825175,-0.02876584399246983,560.228598150266,45.60363757415224,0.0,0.0,0.3033,WakeCone
cap,4.671485194695086,2.290741761789681,0.002739708325624104,diffuse,-5.400328619968428,0.021968897632542367,0.045215757397426684,8.85718457913001,60.76348989449362,0.0,0.0,0.4388,WakeCone
pyramid,5.389236981380227,1.0523719629548831,0.0015767662636710766,specular,-5.270911585624541,-0.005956074870167374,0.034895152909872565,718.0059836959775,86.52691819493765,0.0,0.0,0.3439,PyramidWake
cupola,1.6051536718345985,1.0,0.0015026749074479406,diffuse,-5.452535171024243,0.029428518085721486,0.032998358212458986,155.3315137317891,61.92506201658924,0.0009,6.991065632128388e+17,0.1974,WakeCone
flat,2.644536888506554,0.0,0.002748946967092399,specular,-5.100154495204019,0.035297148179885565,-0.018802118573042037,163.07194719988766,12.811553391770852,0.0,0.0,0.3068,WakeCone
cupola,4.598932873470828,1.0,0.0018562115481918463,diffuse,-5.207135437933703,0.03318037125818679,-0.03548751222040585,1575.08109357973,61.575637534851374,0.0006,3.819657662565764e+18,0.351,WakeCone
cap,3.734305560960621,2.1462025331074024,0.002379422754838296,specular,-5.491502470706213,-0.014560477418346422,0.031238312963649775,8.763424245118633,90.24843427924588,0.0,0.0,0.658,WakeCone
pyramid,2.2995522626822353,1.2288182694759415,0.002804608015993825,diffuse,-5.243773959842739,-0.00896111515068966,0.02998834722502143,253.75748785985328,55.452544712375065,0.0,0.0,0.2403,PyramidWake
cap,3.692604281149626,2.1820979144995185,0.0015127615608088317,specular,-5.242962988763973,0.025940872075961338,0.03312647203087968,5.389713059935816,89.44500257746446,0.0,0.0,0.6516,WakeCone
cap,4.55398768432914,1.8697692867509517,0.0018684686524565116,specular,-5.458352469804199,0.02827508050760097,-0.026261465425242072,9.066786831321812,89.69059457033923,0.0,0.0,0.6524,WakeCone
cupola,2.5688439070134086,1.0,0.0015592507516215474,specular,-5.251817150550792,-0.019762090477202045,-0.027759425593559997,412.81236795065024,101.15994619394465,0.0021,4.157523492383609e+18,0.969,WakeCone
cap,5.655939716384036,2.5841436832549878,0.002657361730991319,specular,-5.041686128903945,0.006452832728722213,0.0016284650106530713,6.750889411500341,89.27263784886055,0.0,0.0,0.6508,WakeCone
cupola,4.41157613252731,1.0,0.0027411893857086744,specular,-5.397331813683139,-0.03298691600569379,0.035477749872660266,2140.3653192388256,101.35601387111505,0.0008,4.662429768872946e+18,0.9747,WakeCone
cap,5.796275075703001,2.423471096162916,0.0023453004303185692,specular,-5.059391635930859,-0.024923247845705723,-0.0065043326898125975,6.774331219419307,89.82403368433205,0.0,0.0,0.6635,WakeCone
cap,3.3199003420049316,1.954251648380395,0.002058353870743864,specular,-5.028682467598032,0.0069382277178158674,0.03442797085272062,9.1432943043484,90.79248078450196,0.0,0.0,0.6671,WakeCone
cap,2.7958858212846485,1.5235857953770906,0.0022326226980754864,diffuse,-5.348945847655079,0.008114561313345835,-0.00814083249242762,16.316429852975066,59.95311351968722,0.0,0.0,0.4361,WakeCone
pyramid,3.184497122131389,1.118106458449395,0.002240000258730612,specular,-5.09095081165021,-0.04937419817007049,0.012013196098728897,368.0106979264427,83.14376940228917,0.0,0.0,0.2204,PyramidWake
cupola,2.2222091071640326,1.0,0.002230131605192437,specular,-5.421881304475479,-0.005269020483756472,-0.003938002483103241,441.8365567561966,101.33954993749377,0.0014,2.0806903712036644e+18,0.9728,WakeCone
cap,5.977687504960395,1.5759089880359882,0.002962728083313813,specular,-5.31005903123018,0.044075097423890014,-0.04099679535489364,20.23825956692172,90.68203164550413,0.0,0.0,0.6664,WakeCone
cap,1.0019592822373038,2.838300504053029,0.002572645343127814,specular,-5.286406661775309,-0.01593998185277442,0.03278357631787336,5.417598344420175,87.99066560402527,0.0,0.0,0.6555,WakeCone
pyramid,2.3432002552770754,1.1430228285779085,0.0025703383915957854,specular,-5.013669779102914,-0.0435712324917715,0.04329854606016591,231.4779948697045,81.83433526982132,0.0,0.0,0.1965,PyramidWake
pyramid,2.401172915632729,1.3786495308574167,0.0027683492610424613,specular,-5.4076367832364305,-0.007885094530661364,0.007548318934806099,293.58983104946554,71.54573508554088,0.0,0.0,0.1532,PyramidWake
flat,1.8391896298608037,0.0,0.002414425932219604,specular,-5.059091954656369,-0.011686208634109518,0.005441550932956098,69.27563940015266,12.796069698904782,0.0,0.0,0.3032,WakeCone
cupola,4.794079417428122,1.0,0.0019351461516347618,specular,-5.343228220645425,-0.006101930351782046,0.009858006437664005,1784.3725185473643,101.3565653930608,0.0009,6.208248516379976e+18,0.9719,WakeCone
cupola,3.1626306401932234,1.0,0.0029797877701589494,diffuse,-5.486939807830717,0.04597211839838171,-0.033494355362154477,1195.7588082797722,62.02923028400499,0.0016,4.80634290539195e+18,0.2981,WakeCone
cap,1.0738129187335042,2.109078723153215,0.0020145650498747613,specular,-5.204759309378674,0.04493514950003179,-0.013373451796875949,7.683150614453002,89.18300440750166,0.0,0.0,0.6595,WakeCone
flat,4.3190492772960365,0.0,0.002103565675206121,diffuse,-5.235622120366989,0.04632228950172099,0.001562035762593214,332.84806046117944,45.551404289660454,0.0,0.0,0.3096,WakeCone
pyramid,5.725757791603888,1.2657991731732614,0.002177330660142066,specular,-5.126160383906241,0.04258617429476179,0.007749513143105194,1243.6219908326998,75.94613657291306,0.0,0.0,0.1386,PyramidWake
pyramid,1.962301731938433,1.3961883075339516,0.0020921635574414144,diffuse,-5.224005490464247,0.0187857724716321,0.006139436354834493,149.42164561752938,53.45680407372768,0.0,0.0,0.2259,PyramidWake
cupola,3.9296313900066835,1.0,0.0028952359860124014,specular,-5.2669473498762684,-0.044383782129482886,-0.023702537098672517,1793.6962647967532,101.17628317853007,0.0011,5.095026363884988e+18,0.9701,WakeCone
flat,4.011455294377143,0.0,0.002314101361823358,specular,-5.291233313233913,-0.020943721290131702,-0.00125151394513464,315.8638524176048,12.986042313338823,0.0,0.0,0.3019,WakeCone
flat,4.380493405342271,0.0,0.0028443025289544258,diffuse,-5.452505311655198,-0.025181145623845536,-0.04026251447942012,462.95148979243237,45.60112524313386,0.0,0.0,0.308,WakeCone
cupola,4.481730327224275,1.0,0.0029404879641832275,specular,-5.248264812311116,-0.005913427912793381,-0.049181035722709834,2369.5842510751554,101.29789267069805,0.0004,2.384911123137447e+18,0.9742,WakeCone
pyramid,5.204701960860388,0.5442113118519921,0.0029885482887031046,diffuse,-5.238400976945915,0.008988754669293074,-0.017051476091908595,995.4193259793234,68.96605971704211,0.0,0.0,0.3551,PyramidWake
